No.;NIT;RAZON SOCIAL;SUPERVISOR;REGIÓN;DEPARTAMENTO DOMICILIO;CIUDAD DOMICILIO;CIIU;MACROSECTOR;"INGRESOS OPERACIONALES
2018*";GANANCIA (PERDIDA) 2018;TOTAL ACTIVOS 2018;TOTAL PASIVOS 2018;TOTAL PATRIMONIO 2018;"INGRESOS OPERACIONALES
2017*";GANANCIA (PERDIDA) 2017;TOTAL ACTIVOS 2017;TOTAL PASIVOS 2017;TOTAL PATRIMONIO 2017;GRUPO EN NIIF
1;899,999,068;ECOPETROL S.A;SUPERFINANCIERA;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;B0610 - Extracción de petróleo crudo;MINERO-HIDROCARBUROS;62,579,849,000;11,556,405,000;113,761,823,000;56,548,216,000;57,213,607,000;49,687,082,000;6,620,412,000;107,549,026,000;59,650,395,000;47,898,631,000;NIIF PLENAS-GRUPO 1
2;830,095,213;ORGANIZACIÓN TERPEL S.A.;SUPERFINANCIERA;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos;COMERCIO;14,879,440,281;133,741,350;5,488,095,686;3,525,498,461;1,962,597,225;12,493,256,560;195,281,207;3,863,475,148;2,186,212,118;1,677,263,030;NIIF PLENAS-GRUPO 1
3;900,112,515;REFINERIA DE CARTAGENA S.A.S.;SUPERSOCIEDADES;Costa Atlántica;BOLIVAR;CARTAGENA-BOLIVAR;C1921 - Fabricación de productos de la refinación del petróleo;MANUFACTURA;12,919,431,000;-802,449,716;27,881,794,581;9,121,543,502;18,760,251,079;9,150,339,475;48,094,664;26,779,627,629;8,612,363,110;18,167,264,519;NIIF PLENAS-GRUPO 1
4;890,900,608;ALMACENES EXITO S A;SUPERFINANCIERA;Antioquia;ANTIOQUIA;ENVIGADO-ANTIOQUIA;G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;COMERCIO;11,444,486,000;279,403,000;15,663,349,000;8,013,609,000;7,649,740,000;11,250,922,000;217,713,000;15,962,702,000;8,123,134,000;7,839,568,000;NIIF PLENAS-GRUPO 1
5;890,904,996;EMPRESAS PÚBLICAS DE MEDELLÍN ESP;SUPERSERVICIOS;Antioquia;ANTIOQUIA;MEDELLIN-ANTIOQUIA;D3513- Dsitribución de energía electrica;SERVICIOS;8,966,811,000;2,344,822,000;45,595,544,000;22,990,219,000;22,605,325,000;7,927,149,000;2,188,189,000;39,580,960,000;18,082,979,000;21,497,981,000;NIIF PLENAS-GRUPO 1
6;890,100,577;AEROVIAS DEL CONTINENTE AMERICANO S.A. - AVIANCA S.A.;SUPERFINANCIERA;Costa Atlántica;ATLANTICO;BARRANQUILLA-ATLANTICO;H5111 - Transporte aereo nacional de pasajeros;SERVICIOS;8,747,168,806;268,776,958;17,041,050,558;15,112,916,822;1,928,133,736;7,702,201,203;49,053,417;14,325,211,160;12,682,959,730;1,642,251,430;NIIF PLENAS-GRUPO 1
7;800,153,993;COMUNICACIÓN CELULAR S.A.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;J6120 - Actividades de telecomunicaciones inalámbricas;SERVICIOS;8,665,791,456;1,042,348,556;14,995,953,079;8,965,121,564;6,030,831,515;8,438,045,879;-1,070,240,411;12,849,498,120;8,044,303,638;4,805,194,482;NIIF PLENAS-GRUPO 1
8;900,156,264;NUEVA EPS S.A.;SUPERSALUD;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;O8430- Actividades de planes de seguridad social de afiliacion obligatoria;SERVICIOS;7,014,036,645.61;79,606,005.49;3,520,168,342.59;3,258,089,409.69;262,078,932.9;5,948,906,066.85;-93,419,634.6;2,810,740,723.68;2,650,298,149.28;160,442,574.41;NIIF PYMES-GRUPO 2
9;900,531,210;Cenit Transporte y Logística de Hidrocarburos S.A.S.;SUPERSOCIEDADES;Bogotá - Cundinamarca;BOGOTA D.C.;BOGOTA-D.C.-BOGOTA D.C.;H4930 - Transporte por tuberías;SERVICIOS;6,715,702,915;3,575,752,687;16,664,862,257;1,776,964,635;14,887,897,622;5,780,339,354;2,986,273,830;15,514,533,239;1,441,865,091;14,072,668,148;NIIF PLENAS-GRUPO 1
10;890,107,487;SUPERTIENDAS Y DROGUERIAS OLIMPICA S.A;SUPERSOCIEDADES;Costa Atlántica;ATLANTICO;BARRANQUILLA-ATLANTICO;G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;COMERCIO;6,158,207,111;82,594,694;3,992,450,101;2,646,443,658;1,346,006,443;5,817,994,063;122,963,097;3,809,263,758;2,416,481,673;1,392,782,085;NIIF PLENAS-GRUPO 1
