Month,Ridership
01/01/1991,1.708.917
01/02/1991,1.620.586
01/03/1991,1.972.715
01/04/1991,1.811.665
01/05/1991,1.974.964
01/06/1991,1.862.356
01/07/1991,1939.86
01/08/1991,2.013.264
01/09/1991,1.595.657
01/10/1991,1.724.924
01/11/1991,1.675.667
01/12/1991,1.813.863
01/01/1992,1.614.827
01/02/1992,1.557.088
01/03/1992,1.891.223
01/04/1992,1.955.981
01/05/1992,1.884.714
01/06/1992,1.623.042
01/07/1992,1.903.309
01/08/1992,1.996.712
01/09/1992,1.703.897
01/10/1992,1810
01/11/1992,1.861.601
01/12/1992,1.875.122
01/01/1993,1.705.259
01/02/1993,1.618.535
01/03/1993,1.836.709
01/04/1993,1.957.043
01/05/1993,1.917.185
01/06/1993,1.882.398
01/07/1993,1.933.009
01/08/1993,1.996.167
01/09/1993,1.672.841
01/10/1993,1.752.827
01/11/1993,1.720.377
01/12/1993,1.734.292
01/01/1994,1.563.365
01/02/1994,1.573.959
01/03/1994,1.902.639
01/04/1994,1.833.888
01/05/1994,1.831.049
01/06/1994,1.775.755
01/07/1994,1.867.508
01/08/1994,1.906.608
01/09/1994,1.685.632
01/10/1994,1.778.546
01/11/1994,1.775.995
01/12/1994,1783.35
01/01/1995,1.548.415
01/02/1995,1.496.925
01/03/1995,1.798.316
01/04/1995,1.732.895
01/05/1995,1.772.345
01/06/1995,1.761.207
01/07/1995,1.791.655
01/08/1995,1874.82
01/09/1995,1.571.309
01/10/1995,1.646.948
01/11/1995,1.672.631
01/12/1995,1.656.845
01/01/1996,1.381.758
01/02/1996,1.360.852
01/03/1996,1.558.575
01/04/1996,1608.42
01/05/1996,1.696.696
01/06/1996,1.693.183
01/07/1996,1.835.516
01/08/1996,1.942.573
01/09/1996,1.551.401
01/10/1996,1.686.508
01/11/1996,1.576.204
01/12/1996,1.700.433
01/01/1997,1.396.588
01/02/1997,1371.69
01/03/1997,1.707.522
01/04/1997,1.654.604
01/05/1997,1.762.903
01/06/1997,1775.8
01/07/1997,1.934.219
01/08/1997,2.008.055
01/09/1997,1.615.924
01/10/1997,1773.91
01/11/1997,1.732.368
01/12/1997,1.796.626
01/01/1998,1570.33
01/02/1998,1.412.691
01/03/1998,1.754.641
01/04/1998,1.824.932
01/05/1998,1.843.289
01/06/1998,1.825.964
01/07/1998,1.968.172
01/08/1998,1.921.645
01/09/1998,1.669.597
01/10/1998,1.791.474
01/11/1998,1.816.714
01/12/1998,1.846.754
01/01/1999,1.599.427
01/02/1999,1.548.804
01/03/1999,1.832.333
01/04/1999,1839.72
01/05/1999,1.846.498
01/06/1999,1.864.852
01/07/1999,1.965.743
01/08/1999,1.949.002
01/09/1999,1.607.373
01/10/1999,1.803.664
01/11/1999,1.850.309
01/12/1999,1.836.435
01/01/2000,1541.66
01/02/2000,1.616.928
01/03/2000,1.919.538
01/04/2000,1.971.493
01/05/2000,1.992.301
01/06/2000,2.009.763
01/07/2000,2.053.996
01/08/2000,2.097.471
01/09/2000,1.823.706
01/10/2000,1.976.997
01/11/2000,1.981.408
01/12/2000,2.000.153
01/01/2001,1.683.148
01/02/2001,1.663.404
01/03/2001,2.007.928
01/04/2001,2.023.792
01/05/2001,2.047.008
01/06/2001,2.072.913
01/07/2001,2.126.717
01/08/2001,2.202.638
01/09/2001,1.707.693
01/10/2001,1.950.716
01/11/2001,1.973.614
01/12/2001,1.984.729
01/01/2002,1.759.629
01/02/2002,1.770.595
01/03/2002,2.019.912
01/04/2002,2.048.398
01/05/2002,2.068.763
01/06/2002,1.994.267
01/07/2002,2.075.258
01/08/2002,2026.56
01/09/2002,1.734.155
01/10/2002,1.916.771
01/11/2002,1.858.345
01/12/2002,1.996.352
01/01/2003,1.778.033
01/02/2003,1.749.489
01/03/2003,2.066.466
01/04/2003,2.098.899
01/05/2003,2.104.911
01/06/2003,2.129.671
01/07/2003,2.223.349
01/08/2003,2174.36
01/09/2003,1.931.406
01/10/2003,2121.47
01/11/2003,2.076.054
01/12/2003,2.140.677
01/01/2004,1.831.508
01/02/2004,1.838.006
01/03/2004,2.132.446
