Nº;Nº RADICADO;AREA/ PROGRAMA;ASUNTO;MEDIO;TIPO DE SOLICITUD;DESTINATARIO O RESPONSABLE;FECHA RADICACION;DIAS TRAMITE;FECHA LIMITE;ESTADO
1;002;TÉCNICA;SOLICTUD DE CURSO DE ESCALAFON;FISICO;PETICION;TÉCNICA;01/21/2021 12:00:00 AM;5;01/28/2021 12:00:00 AM;FINALIZADO
2;004;TÉCNICA;SOLICITUD DE CERTIFICACION UNIVERSIDAD;FISICO;PETICION;TÉCNICA;01/25/2021 12:00:00 AM;10;02/08/2021 12:00:00 AM;FINALIZADO
3;007;TÉCNICA;SOLICTUD DE MONITORES;FISICO;PETICION;TÉCNICA;02/02/2021 12:00:00 AM;10;02/16/2021 12:00:00 AM;FINALIZADO
4;008;CONTROL INTERNO;RESOLUCIONES IMPUESTO CIGARRILLO;FISICO;PETICION;CONTROL INTERNO;02/02/2021 12:00:00 AM;15;02/23/2021 12:00:00 AM;FINALIZADO
5;011;CONTROL INTERNO;SOLICITUD INFORMACION;FISICO;PETICION;CONTROL INTERNO;02/11/2021 12:00:00 AM;5;02/18/2021 12:00:00 AM;FINALIZADO
6;021;CONTROL INTERNO;SOLICITUD AUDITORIA CONTABLE;FISICO;PETICION;CONTROL INTERNO;02/19/2021 12:00:00 AM;2;02/23/2021 12:00:00 AM;FINALIZADO
7;025;TÉCNICA;SOLICTUD APOYO;FISICO;PETICION;TÉCNICA;02/22/2021 12:00:00 AM;8;03/04/2021 12:00:00 AM;FINALIZADO
8;028;TÉCNICA;SOLCITUD APOYO;FISICO;PETICION;TÉCNICA;02/24/2021 12:00:00 AM;8;03/08/2021 12:00:00 AM;FINALIZADO
9;030;GERENCIA;PROPUESTA TALLER PARA PERSONAS SORDAS;FISICO;PETICION;GERENCIA;02/25/2021 12:00:00 AM;5;03/04/2021 12:00:00 AM;FINALIZADO
10;038;CONTROL INTERNO;SOLICITUD PAGO BONIFICACION;FISICO;PETICION;JURÍDICA;03/08/2021 12:00:00 AM;10;03/22/2021 12:00:00 AM;FINALIZADO
11;N/A;JURÍDICA;MEMORIAL MINDEPORTE. PROCESO 2019 - 00321;E-MAIL;RECLAMO;JURÍDICA;03/09/2021 12:00:00 AM;5;03/16/2021 12:00:00 AM;FINALIZADO
12;N/A;JURÍDICA;DERECHO DE PETICION;E-MAIL;PETICION;JURÍDICA;03/26/2021 12:00:00 AM;10;04/09/2021 12:00:00 AM;FINALIZADO
13;N/A;JURÍDICA;SOLICITUD COPIAS DE PROPUESTAS;E-MAIL;PETICION;JURÍDICA;04/16/2021 12:00:00 AM;10;04/30/2021 12:00:00 AM;FINALIZADO
14;N/A;JURÍDICA;SOLICITUD DE INFORMACIÓN - REITERACIÓN DE REQUERIMIENTO;E-MAIL;PETICION;JURÍDICA;04/29/2021 12:00:00 AM;8;05/11/2021 12:00:00 AM;FINALIZADO
15;N/A;CONTROL INTERNO;SOLICITUD INFORMACIÓN DE RECURSOS AL CIGARRILLO;E-MAIL;PETICION;CONTROL INTERNO;05/03/2021 12:00:00 AM;15;05/24/2021 12:00:00 AM;FINALIZADO
16;N/A;TÉCNICA;SOLICITUD CAPACITACIÓN INSTRUTOR DEPORTIVO;E-MAIL;PETICION;TÉCNICA;05/03/2021 12:00:00 AM;16;05/25/2021 12:00:00 AM;FINALIZADO
17;N/A;TÉCNICA;SOLICITUD APOYO DEPORTISTAS;E-MAIL;PETICION;TÉCNICA;05/04/2021 12:00:00 AM;17;05/27/2021 12:00:00 AM;FINALIZADO
18;N/A;TÉCNICA;SOLICITUD APOYO;E-MAIL;PETICION;TÉCNICA;05/07/2021 12:00:00 AM;18;06/02/2021 12:00:00 AM;FINALIZADO
19;N/A;TÉCNICA;SOLICITUD INFORMACION;E-MAIL;PETICION;TÉCNICA;05/13/2021 12:00:00 AM;10;05/27/2021 12:00:00 AM;FINALIZADO
20;N/A;TÉCNICA;TORNEO NACIONAL INTERCLUBES BALONCESTO SPORT LIFE;E-MAIL;PETICION;TÉCNICA;05/19/2021 12:00:00 AM;10;06/02/2021 12:00:00 AM;FINALIZADO
21;N/A;TÉCNICA;SOLICITUD DE ESTATUTOS DE LA LIGA LIVITOL JUNTA DIRECTIVA;E-MAIL;PETICION;TÉCNICA;05/20/2021 12:00:00 AM;15;06/10/2021 12:00:00 AM;FINALIZADO
22;N/A;TÉCNICA;SOLICITUD SERTIFICACIO COMO PARTICIPANTE  DEL TOLIMA EN LOS JUEGOS SUPERATE;E-MAIL;PETICION;TÉCNICA;05/21/2021 12:00:00 AM;15;06/11/2021 12:00:00 AM;FINALIZADO
23;N/A;TÉCNICA;SOLICITUD COMITÉ PRO LIGA DE VOLEIBOL;E-MAIL;PETICION;TÉCNICA;05/21/2021 12:00:00 AM;15;06/11/2021 12:00:00 AM;FINALIZADO
24;N/A;TÉCNICA;SOLICITUD DE MONITORA;E-MAIL;PETICION;TÉCNICA;05/22/2021 12:00:00 AM;15;06/11/2021 12:00:00 AM;FINALIZADO
25;N/A;TÉCNICA;SOLICITUD DE MONITORES E IMPLEMENTOS;E-MAIL;PETICION;TÉCNICA;05/23/2021 12:00:00 AM;16;06/14/2021 12:00:00 AM;FINALIZADO
26;N/A;TÉCNICA;ARTICULACIÓN SECRETARÍA DE LA MUJER;E-MAIL;PETICION;TÉCNICA;05/25/2021 12:00:00 AM;5;06/01/2021 12:00:00 AM;FINALIZADO
27;N/A;ADMINISTRATIVO;SOLICITUD DE TRANSPORTE;E-MAIL;PETICION;ADMINISTRATIVO;05/25/2021 12:00:00 AM;5;06/01/2021 12:00:00 AM;FINALIZADO
28;N/A;TÉCNICA;APOYO RECREATIVA EN INSTITUTO POLITÉCNICO LUIS A RENGIFO;E-MAIL;PETICION;TÉCNICA;05/26/2021 12:00:00 AM;6;06/03/2021 12:00:00 AM;FINALIZADO
29;N/A;TÉCNICA;SOLICITUD APOYO PROPGRAMA ACTIVIDAD FISICA Y DE RECREACION;E-MAIL;PETICION;TÉCNICA;05/27/2021 12:00:00 AM;10;06/10/2021 12:00:00 AM;FINALIZADO
30;N/A;TÉCNICA;CAPACITACION;E-MAIL;PETICION;TÉCNICA;05/27/2021 12:00:00 AM;10;06/10/2021 12:00:00 AM;FINALIZADO
31;N/A;TÉCNICA;SOLICITUD CAPACITACIÓN EN ADMINISTRACIÓN DEPORTIVA;E-MAIL;PETICION;TÉCNICA;05/27/2021 12:00:00 AM;10;06/10/2021 12:00:00 AM;FINALIZADO
32;N/A;TÉCNICA;SOLICITUD CAPACITACIÓN EN ADMINISTRACIÓN DEPORTIVA;E-MAIL;PETICION;TÉCNICA;05/27/2021 12:00:00 AM;10;06/10/2021 12:00:00 AM;FINALIZADO
33;N/A;TÉCNICA;CAPACITACIÓN PRIORITARIA PARA PROGRAMA HEVS;E-MAIL;PETICION;TÉCNICA;05/27/2021 12:00:00 AM;10;06/10/2021 12:00:00 AM;FINALIZADO
34;N/A;TÉCNICA;SOLICITUD APOYO;E-MAIL;PETICION;TÉCNICA;05/31/2021 12:00:00 AM;10;06/14/2021 12:00:00 AM;FINALIZADO
35;N/A;TÉCNICA;SIOLICITUD DE APOYO;E-MAIL;PETICION;TÉCNICA;06/03/2021 12:00:00 AM;10;06/17/2021 12:00:00 AM;FINALIZADO
