No pqr;Periodo;Medio;Clasificación;Secretaria;Dependencia relacionada;Producto
1,253;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1430 dirección de bienes inmuebles;Evidencias
1,252;2,018;Web;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,251;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,250;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,249;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,248;2,018;Buzón;Reconocimiento;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,247;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,246;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,245;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,244;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1440 tesorería general1410 subsecretaría de asuntos tributarios;Evidencias
1,243;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,242;2,018;Web;Reclamo;1000 SECRETARÍA DE EDUCACIÓN;1000 secretaría de educación;Evidencias
1,241;2,018;Web;Peticion;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;910 dirección de vigilancia, control y aseguramiento en salud;Evidencias
1,240;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,239;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,238;2,018;Web;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno1410 subsecretaría de asuntos tributarios;Evidencias
1,237;2,018;Web;Reclamo;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,236;2,018;Web;Sugerencia;1100 SECRETARIA DE CULTURA;1100 secretaria de cultura;Evidencias
1,235;2,018;Web;Peticion;0700 SECRETARÍA DE VIVIENDA SOCIAL;0700 secretaría de vivienda social0200 secretaría de planeación0600 secretaría de infraestructura;Evidencias
1,234;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,233;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,232;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,231;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,230;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,229;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,228;2,018;Web;Queja;1100 SECRETARIA DE CULTURA;1100 secretaria de cultura;Evidencias
1,227;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,226;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,225;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,223;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,221;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0600 secretaría de infraestructura;Evidencias
1,220;2,018;Web;Peticion;1400 SECRETARÍA DE HACIENDA;1400 secretaría de hacienda;Evidencias
1,219;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1400 secretaría de hacienda;Evidencias
1,218;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,217;2,018;Web;Clasificacion pendiente;1300 SECRETARÍA DE DESARROLLO SOCIAL Y POLITÍCO;1300 secretaría de desarrollo social y politíco;Evidencias
1,216;2,018;Web;Peticion;0400 SECRETARÍA DE TECNOLOGÍAS DE LA INFORMACIÓN Y LA COMUNICACIÓN;0400 secretaría de tecnologías de la información y la comunicación;Evidencias
1,214;2,018;Web;Queja;0500 SECRETARÍA DE DESARROLLO RURAL Y GESTIÓN AMBIENTAL;0500 secretaría de desarrollo rural y gestión ambiental;Evidencias
1,213;2,018;Web;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,212;2,018;Web;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,211;2,018;Web;Queja;1400 SECRETARÍA DE HACIENDA;1410 subsecretaría de asuntos tributarios;Evidencias
1,210;2,018;Web;Queja;0800 SECRETARÍA DE GOBIERNO;0800 secretaría de gobierno;Evidencias
1,209;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;Evidencias
1,208;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,207;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1400 SECRETARÍA DE HACIENDA;Evidencias
1,206;2,018;Web;Peticion;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;1500 SECRETARÍA DE GESTIÓN ADMINISTRATIVA;Evidencias
1,205;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,204;2,018;Web;Peticion;0200 SECRETARÍA DE PLANEACIÓN;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,203;2,018;Web;Peticion;1300 SECRETARÍA DE DESARROLLO SOCIAL Y POLITÍCO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,202;2,018;Web;Queja;1000 SECRETARÍA DE EDUCACIÓN;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,201;2,018;Web;Peticion;0110 SECRETARÍA PRIVADA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,200;2,018;Buzón;Clasificacion pendiente;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,199;2,018;Buzón;Queja;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,198;2,018;Buzón;Peticion;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,197;2,018;Buzón;Peticion;0120 DIRECCIÓN DE GESTIÓN DEL RIESGO;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,196;2,018;Buzón;Clasificacion pendiente;0800 SECRETARÍA DE GOBIERNO;1400 SECRETARÍA DE HACIENDA;Evidencias
1,195;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0900 SECRETARÍA DE SALUD PÚBLICA Y SEGURIDAD SOCIAL;Evidencias
1,194;2,018;Web;Reclamo;1400 SECRETARÍA DE HACIENDA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,193;2,018;Web;Clasificacion pendiente;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,192;2,018;Buzón;Reconocimiento;0600 SECRETARÍA DE INFRAESTRUCTURA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,191;2,018;Buzón;Queja;1400 SECRETARÍA DE HACIENDA;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,190;2,018;Buzón;Clasificacion pendiente;0800 SECRETARÍA DE GOBIERNO;0800 SECRETARÍA DE GOBIERNO;Evidencias
1,189;2,018;Web;Peticion;0600 SECRETARÍA DE INFRAESTRUCTURA;0800 SECRETARÍA DE GOBIERNO;Evidencias
